TAIR10,TAIR10 description,LF - Bo,,MF1 - Bo,MF2 - Bo
AT5G39660,CDF2 (CYCLING DOF FACTOR 2); DNA binding / protein binding / transcription factor,Bo00578s060,,Bo6g064720,-
AT5G39670,calcium-binding EF hand family protein,Bo00578s040,,Bo6g064730,Bo4g145340
AT5G39680,EMB2744 (EMBRYO DEFECTIVE 2744),-,,Bo6g064740,Bo4g145330
AT5G39690,ANAC093 (Arabidopsis NAC domain containing protein 93); transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39693,MIR869a; miRNA,na ,,na ,na 
AT5G39700,MYB89 (myb domain protein 89); DNA binding / transcription factor,-,,-,-
AT5G39710,EMB2745 (EMBRYO DEFECTIVE 2745),Bo00578s020,,-,-
AT5G39720,AIG2L (AVIRULENCE INDUCED GENE 2 LIKE PROTEIN),Bo4g139020,,Bo6g062590,-
AT5G39730,avirulence-responsive protein-related / avirulence induced gene (AIG) protein-related,na ,,na ,na 
AT5G39740,60S ribosomal protein L5 (RPL5B),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39750,AGL81 (AGAMOUS-LIKE 81); transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39760,AtHB23 (ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 23); DNA binding / transcription factor,Bo4g139060,,-,-
AT5G39770,DNA binding / endonuclease/ nuclease/ nucleic acid binding / protein binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39785,structural constituent of ribosome,Bo4g139080,,-,-
AT5G39790,5'-AMP-activated protein kinase beta-1 subunit-related,Bo4g139090,,-,-
AT5G39800,60S ribosomal protein-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39810,AGL98 (AGAMOUS-LIKE 98); transcription factor,Bo4g139260,,-,-
AT5G39820,anac094 (Arabidopsis NAC domain containing protein 94); transcription factor,-,,Bo6g062570,-
AT5G39830,DEG8; peptidase/ serine-type peptidase,Bo4g139110,,-,-
AT5G39840,ATP-dependent RNA helicase mitochondrial putative,na ,,na ,na 
AT5G39850,40S ribosomal protein S9 (RPS9C),na ,,na ,na 
AT5G39860,PRE1 (PACLOBUTRAZOL RESISTANCE1); DNA binding / transcription factor,-,,Bo6g063630,-
AT5G39861,pseudogene similar to receptor kinase 5 blastp match of 69% identity and 5.6e-67 P-value to GP|16040952|dbj|BAB69683.1||AB041621 receptor kinase 5 {Brassica rapa},na ,,na ,na 
AT5G39862,transposable element gene,na ,,na ,na 
AT5G39863,pseudogene similar to receptor-like kinase blastp match of 65% identity and 4.1e-20 P-value to GP|1783312|emb|CAA67145.1||X98520 receptor-like kinase {Brassica oleracea},na ,,na ,na 
AT5G39865,glutaredoxin family protein,Bo4g139170,,-,-
AT5G39870,unknown protein,Bo4g139180,,-,-
AT5G39880,unknown protein,Bo4g140580,,-,-
AT5G39890,unknown protein,Bo4g139190,,-,-
AT5G39895,pre-tRNA,na ,,na ,na 
AT5G39900,GTP binding / GTPase/ translation elongation factor,-,,Bo6g063620,-
AT5G39910,glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein,Bo4g139280,,-,-
AT5G39920,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Pre-mRNA cleavage complex II Clp1 (InterPro:IPR010655); BEST Arabidopsis thaliana protein match is: CLPS5 (CLP1-SIMILAR PROTEIN 5) (TAIR:AT5G39930.1); Has 8 Blast hits to 8 proteins in 4 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 8; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39930,CLPS5 (CLP1-SIMILAR PROTEIN 5),-,,-,Bo4g145350
AT5G39940,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: HI0933-like protein (InterPro:IPR004792); Has 2776 Blast hits to 2776 proteins in 871 species: Archae - 18; Bacteria - 1933; Metazoa - 0; Fungi - 2; Plants - 19; Viruses - 0; Other Eukaryotes - 804 (source: NCBI BLink).,na ,,na ,na 
AT5G39950,ATTRX2 (THIOREDOXIN 2); oxidoreductase acting on sulfur group of donors disulfide as acceptor,-,,Bo6g062550,-
AT5G39955,transposable element gene,na ,,na ,na 
AT5G39960,GTP-binding family protein,na ,,na ,na 
AT5G39970,catalytic,-,,Bo6g062520,-
AT5G39980,pentatricopeptide (PPR) repeat-containing protein,-,,Bo6g062510,-
AT5G39990,glycosyltransferase family 14 protein / core-2/I-branching enzyme family protein,Bo4g139350,,Bo6g062500,-
AT5G39995,pseudogene similar to putative Myb/Myb-related protein blastp match of 52% identity and 1.4e-24 P-value to GP|21321780|gb|AAM47303.1|AF377946_5|AF377946 putative Myb/Myb-related protein {Oryza sativa (japonica cultivar-group)},na ,,na ,na 
AT5G40000,AAA-type ATPase family protein,Bo4g139360,,-,-
AT5G40010,AATP1 (AAA-ATPase 1); ATP binding / ATPase/ nucleoside-triphosphatase/ nucleotide binding,na ,,na ,na 
AT5G40020,pathogenesis-related thaumatin family protein,Bo4g139420,,-,-
AT5G40030,protein kinase putative,Bo4g139390,,-,-
AT5G40040,60S acidic ribosomal protein P2 (RPP2E),-,,-,-
AT5G40050,F-box family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40060,ATP binding / nucleoside-triphosphatase/ nucleotide binding,-,,-,-
AT5G40070,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; BEST Arabidopsis thaliana protein match is: AGL81 (AGAMOUS-LIKE 81); transcription factor (TAIR:AT5G39750.1); Has 44 Blast hits to 42 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 5; Fungi - 2; Plants - 35; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40080,60S ribosomal protein-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40090,ATP binding / nucleoside-triphosphatase/ nucleotide binding / transmembrane receptor,-,,-,-
AT5G40100,disease resistance protein (TIR-NBS-LRR class) putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40110,transposable element gene,na ,,na ,na 
AT5G40120,AGL76 (AGAMOUS-LIKE 76); DNA binding / transcription factor,Bo4g139620;Bo4g139560,,-,-
AT5G40130,60S ribosomal protein L5 (RPL5C) pseudogene 60S RIBOSOMAL PROTEIN L5 Arabidopsis thaliana SWISSPROT:RL5_ARATH; blastp match of 70% identity and 7.9e-26 P-value to GP|13359453|dbj|BAB33422.1||AB049724 putative senescence-associated protein {Pisum sativum},na ,,na ,na 
AT5G40140,armadillo/beta-catenin repeat family protein / U-box domain-containing protein,Bo4g139680,,-,-
AT5G40150,peroxidase putative,Bo4g139700,,-,-
AT5G40155,Encodes a defensin-like (DEFL) family protein.,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40160,EMB506 (embryo defective 506); protein binding,Bo4g139750,,-,-
AT5G40170,AtRLP54 (Receptor Like Protein 54); kinase/ protein binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40180,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40190,calmodulin-binding protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40200,DegP9 (DegP protease 9); catalytic/ protein binding / serine-type endopeptidase/ serine-type peptidase,Bo4g139770,,-,Bo4g145480
AT5G40210,nodulin MtN21 family protein,-,,Bo6g062430,Bo4g145490
AT5G40212,Pseudogene of AT5G40240; nodulin MtN21 family protein,na ,,na ,na 
AT5G40220,AGL43 (AGAMOUS-LIKE 43); transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40230,nodulin-related,na ,,na ,na 
AT5G40240,nodulin MtN21 family protein,na ,,na ,na 
AT5G40250,zinc finger (C3HC4-type RING finger) family protein,Bo4g139880,,Bo6g062420,-
AT5G40260,nodulin MtN3 family protein,Bo4g139910,,-,-
AT5G40270,metal-dependent phosphohydrolase HD domain-containing protein,Bo4g139920,,-,-
AT5G40275,other RNA,na ,,na ,na 
AT5G40280,ERA1 (ENHANCED RESPONSE TO ABA 1); farnesyltranstransferase/ protein farnesyltransferase,Bo4g139930,,-,-
AT5G40290,metal-dependent phosphohydrolase HD domain-containing protein,na ,,na ,na 
AT5G40300,integral membrane protein putative,Bo4g139940,,-,-
AT5G40310,exonuclease family protein,-,,-,Bo4g145510;Bo4g145520
AT5G40316,other RNA,na ,,na ,na 
AT5G40320,DC1 domain-containing protein,Bo4g140280,,-,-
AT5G40330,MYB23 (MYB DOMAIN PROTEIN 23); DNA binding / protein binding / transcription factor,Bo4g140000,,-,-
AT5G40340,PWWP domain-containing protein,-,,Bo6g062400,-
AT5G40348,other RNA,na ,,na ,na 
AT5G40350,MYB24 (myb domain protein 24); DNA binding / transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40360,MYB115 (myb domain protein 115); DNA binding / transcription factor,-,,-,-
AT5G40370,glutaredoxin putative,Bo4g140060,,-,Bo4g145540
AT5G40380,protein kinase family protein,-,,Bo6g062380,-
AT5G40382,cytochrome-c oxidase,Bo4g140120,,-,-
AT5G40384,MIR866a; miRNA,na ,,na ,na 
AT5G40390,SIP1 (seed imbibition 1-like); galactinol-sucrose galactosyltransferase/ hydrolase hydrolyzing O-glycosyl compounds,Bo4g140140,,-,-
AT5G40395,U6acat; snRNA,na ,,na ,na 
AT5G40400,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: pentatricopeptide (PPR) repeat-containing protein (TAIR:AT5G55840.1); Has 18933 Blast hits to 5737 proteins in 174 species: Archae - 4; Bacteria - 8; Metazoa - 352; Fungi - 335; Plants - 17540; Viruses - 0; Other Eukaryotes - 694 (source: NCBI BLink).,Bo4g140170,,-,-
AT5G40405,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: pentatricopeptide (PPR) repeat-containing protein (TAIR:AT5G66520.1); Has 12548 Blast hits to 5076 proteins in 168 species: Archae - 0; Bacteria - 2; Metazoa - 87; Fungi - 66; Plants - 12146; Viruses - 0; Other Eukaryotes - 247 (source: NCBI BLink).,-,,Bo6g062280;Bo6g062370,-
AT5G40410,INVOLVED IN: biological_process unknown; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: pentatricopeptide (PPR) repeat-containing protein (TAIR:AT1G08070.1); Has 12213 Blast hits to 4641 proteins in 127 species: Archae - 0; Bacteria - 0; Metazoa - 61; Fungi - 12; Plants - 12006; Viruses - 0; Other Eukaryotes - 134 (source: NCBI BLink).,na ,,na ,na 
AT5G40420,OLEO2 (OLEOSIN 2),Bo4g140180,,Bo6g062360,-
AT5G40430,MYB22 (myb domain protein 22); DNA binding / transcription factor,Bo4g140150;Bo4g140330;Bo4g140210,,-,-
AT5G40440,ATMKK3 (ARABIDOPSIS THALIANA MITOGEN-ACTIVATED PROTEIN KINASE KINASE 3); MAP kinase kinase,Bo4g140200,,-,-
AT5G40450,unknown protein,-,,Bo6g062350,-
AT5G40451,unknown protein,na ,,na ,na 
AT5G40460,unknown protein,Bo4g140230,,-,-
AT5G40470,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: F-box family protein (FBL4) (TAIR:AT4G15475.1); Has 1784 Blast hits to 1176 proteins in 130 species: Archae - 0; Bacteria - 16; Metazoa - 963; Fungi - 149; Plants - 477; Viruses - 0; Other Eukaryotes - 179 (source: NCBI BLink).,Bo4g140250,,-,-
AT5G40480,EMB3012 (embryo defective 3012),-,,Bo6g062320,-
AT5G40490,RNA recognition motif (RRM)-containing protein,na ,,na ,na 
AT5G40500,unknown protein,na ,,na ,na 
AT5G40510,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335) Sucraseferredoxin-like (InterPro:IPR009737) Thioredoxin-like fold (InterPro:IPR012336); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G27570.1); Has 291 Blast hits to 291 proteins in 101 species: Archae - 6; Bacteria - 54; Metazoa - 0; Fungi - 160; Plants - 40; Viruses - 0; Other Eukaryotes - 31 (source: NCBI BLink).,Bo4g140300,,-,-
AT5G40520,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40530,EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Methyltransferase-related (InterPro:IPR007823); Has 293 Blast hits to 293 proteins in 141 species: Archae - 0; Bacteria - 0; Metazoa - 93; Fungi - 88; Plants - 22; Viruses - 0; Other Eukaryotes - 90 (source: NCBI BLink).,Bo4g140320,,-,-
AT5G40540,protein kinase putative,Bo4g140340,,-,-
AT5G40545,pre-tRNA,na ,,na ,na 
AT5G40550,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40560,DegP13 (DegP protease 13); catalytic/ protein binding / serine-type endopeptidase/ serine-type peptidase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40570,surfeit locus protein 2 family protein / SURF2 family protein,-,,-,-
AT5G40580,PBB2; endopeptidase/ peptidase/ threonine-type endopeptidase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40590,DC1 domain-containing protein,-,,Bo6g062240,-
AT5G40595,unknown protein,-,,-,-
AT5G40600,unknown protein,na ,,na ,na 
AT5G40605,transposable element gene,na ,,na ,na 
AT5G40610,glycerol-3-phosphate dehydrogenase (NAD+) / GPDH,na ,,na ,na 
AT5G40620,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40630,ubiquitin family protein,Bo4g140390,,-,-
AT5G40640,unknown protein,Bo4g140400,,Bo6g062180;Bo6g062170,-
AT5G40645,nitrate-responsive NOI protein putative,-,,-,-
AT5G40650,SDH2-2; electron carrier/ succinate dehydrogenase,-,,Bo6g062160,-
AT5G40660,ATP12 protein-related,Bo4g140410,,-,-
AT5G40670,PQ-loop repeat family protein / transmembrane family protein,Bo4g140420,,-,Bo4g145560
AT5G40680,kelch repeat-containing F-box family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40690,INVOLVED IN: biological_process unknown; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 10 growth stages; CONTAINS InterPro DOMAIN/s: EF-HAND 1 (InterPro:IPR018247); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G41730.1); Has 208 Blast hits to 177 proteins in 46 species: Archae - 0; Bacteria - 4; Metazoa - 51; Fungi - 25; Plants - 42; Viruses - 6; Other Eukaryotes - 80 (source: NCBI BLink).,Bo4g140430,,-,-
AT5G40700,unknown protein,Bo4g140440,,Bo6g062150,Bo4g145570
AT5G40710,zinc finger (C2H2 type) family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40720,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF23 (InterPro:IPR008166); BEST Arabidopsis thaliana protein match is: zinc finger (C3HC4-type RING finger) family protein (TAIR:AT3G27330.1); Has 216 Blast hits to 216 proteins in 64 species: Archae - 0; Bacteria - 120; Metazoa - 2; Fungi - 4; Plants - 57; Viruses - 0; Other Eukaryotes - 33 (source: NCBI BLink).,-,,Bo6g062140;Bo6g062130,-
AT5G40730,AGP24,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40740,unknown protein,Bo4g140460,,Bo6g062110,-
AT5G40750,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: FBD (InterPro:IPR013596) FBD-like (InterPro:IPR006566) Leucine-rich repeat 2 (InterPro:IPR013101); BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT1G22000.1); Has 266 Blast hits to 241 proteins in 3 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 266; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40760,G6PD6 (GLUCOSE-6-PHOSPHATE DEHYDROGENASE 6); glucose-6-phosphate dehydrogenase,-,,Bo6g062100,-
AT5G40770,ATPHB3 (PROHIBITIN 3),Bo4g140480,,Bo6g062090,-
AT5G40780,LHT1; amino acid transmembrane transporter,Bo4g140500,,Bo6g062080,-
AT5G40790,unknown protein,Bo4g140510,,-,-
AT5G40800,unknown protein,na ,,na ,na 
AT5G40810,cytochrome c1 putative,Bo4g140540,,-,-
AT5G40820,ATRAD3; binding / inositol or phosphatidylinositol kinase/ phosphotransferase alcohol group as acceptor / protein serine/threonine kinase,-,,-,-
AT5G40830,methyltransferase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40840,SYN2,Bo4g140560,,-,-
AT5G40847,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40850,UPM1 (UROPHORPHYRIN METHYLASE 1); uroporphyrin-III C-methyltransferase,Bo4g140570,,-,-
AT5G40855,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G40860,unknown protein,Bo4g140590,,-,-
AT5G40870,AtUK/UPRT1 (Uridine kinase/Uracil phosphoribosyltransferase 1); ATP binding / kinase/ uracil phosphoribosyltransferase/ uridine kinase,Bo4g140610,,-,-
AT5G40880,WD-40 repeat family protein / zfwd3 protein (ZFWD3),Bo4g140020,,-,-
AT5G40890,ATCLC-A (CHLORIDE CHANNEL A); anion channel/ nitrate transmembrane transporter/ voltage-gated chloride channel,-,,Bo6g062010,Bo4g145580
AT5G40900,unknown protein,-,,Bo6g062000,-
AT5G40910,disease resistance protein (TIR-NBS-LRR class) putative,-,,-,-
AT5G40920,pseudogene disease resistance protein (TIR-NBS-LRR class) putative domain signature TIR-NBS-LRR exists suggestive of a disease resistance protein.,na ,,na ,na 
AT5G40930,TOM20-4 (TRANSLOCASE OF OUTER MEMBRANE 20-4); P-P-bond-hydrolysis-driven protein transmembrane transporter,-,,-,Bo4g145610
AT5G40940,FLA20 (PUTATIVE FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 20),Bo4g140690,,-,-
AT5G40942,pseudogene of ribonucleoside-diphosphate reductase small chain/ ribonucleotide reductase,na ,,na ,na 
AT5G40945,pre-tRNA,na ,,na ,na 
AT5G40950,RPL27 (RIBOSOMAL PROTEIN LARGE SUBUNIT 27); structural constituent of ribosome,Bo4g140700,,-,-
AT5G40960,unknown protein,Bo4g140710,,-,-
AT5G40970,unknown protein,Bo4g140720,,-,-
AT5G40980,unknown protein,-,,-,-
